bird,park,count,count_datetime
Northern Boobook,Jurong West,1.0,25-Oct-22
Northern Boobook,Mount Faber Park,1.0,3-Jan-24
Northern Boobook,Penjuru Place,1.0,2-Nov-23
Northern Boobook,Punggol Way,1.0,11-Nov-22
Northern Boobook,Republic Polytechnic,1.0,28-Mar-23
Northern Boobook,Satay By The Bay,1.0,28-Mar-22
Northern Boobook,Satay by the Bay,1.0,8-Nov-17
Northern Boobook,Sungei Buloh Wetland Reserve,1.0,13-Apr-22
Northern Boobook,Tampines Eco Green,1.0,23-Apr-22
Northern Boobook,Tanjong Katong,1.0,25-Apr-20
Northern Boobook,Tuas South,6.0,9-Nov-15
Northern Boobook,Tuas South,6.0,17-Nov-15
Northern Boobook,Tuas South,6.0,8-Mar-16
Northern Boobook,Tuas South,6.0,21-Apr-16
Northern Boobook,Tuas South,6.0,6-Nov-18
Northern Boobook,Tuas South,6.0,5-Nov-19
Northern Boobook,Tuas South,6.0,1-Nov-20
Northern Boobook,one-north Park: Biopolis,1.0,1-Nov-21
Northern Pintail,Sungei Buloh Wetland Reserve,2.0,3-Feb-16
Northern Pintail,Sungei Buloh Wetland Reserve,2.0,7-Mar-20
Oriental Darter,Bukit Timah Nature Reserve,1.0,6-Feb-16
Oriental Darter,Central Catchment Nature Reserve,1.0,9-Nov-18
Oriental Darter,Jurong Lake Gardens,1.0,8-Dec-21
Oriental Darter,Kent Ridge Park,1.0,24-Nov-19
Oriental Darter,Pulau Ubin,2.0,14-May-17
Oriental Darter,Pulau Ubin,2.0,4-Jun-17
Oriental Darter,Singapore Quarry,2.0,26-Dec-17
Oriental Darter,Singapore Quarry,2.0,18-Feb-18
Oriental Darter,Sungei Buloh Wetland Reserve,1.0,11-Jun-19
Oriental Plover,Pulau Ubin,1.0,28-Jan-21
Oriental Plover,Tuas South,1.0,7-Oct-22
Oriental Scops Owl,Bukit Brown Cemetery,1.0,25-Nov-22
Oriental Scops Owl,Central Catchment Nature Reserve,1.0,30-Dec-20
Oriental Scops Owl,Jalan Besar Road,1.0,16-Dec-21
Oriental Scops Owl,Jurong East,1.0,23-Nov-19
Oriental Scops Owl,Jurong Island,1.0,12-Mar-21
Oriental Scops Owl,Jurong West,1.0,17-Nov-21
Oriental Scops Owl,MacRitchie Reservoir Park,1.0,23-Jan-20
Oriental Scops Owl,Marina Bay Floating Stage,1.0,26-Feb-22
Oriental Scops Owl,Mimosa Walk,1.0,14-Feb-18
Oriental Scops Owl,Montreal Dr,1.0,9-Nov-20
Oriental Scops Owl,Nanyang Technological University,1.0,31-Oct-22
Oriental Scops Owl,National University of Singapore,1.0,9-Mar-17
Oriental Scops Owl,"New Tech Park, Serangoon",1.0,11-Nov-20
Oriental Scops Owl,Oriole Crescent,1.0,19-Dec-18
Oriental Scops Owl,Pasir Ris Grove,1.0,21-Nov-22
Oriental Scops Owl,People's Park Centre,1.0,8-Dec-22
Oriental Scops Owl,Pulau Ubin,1.0,2-Dec-16
Oriental Scops Owl,Sims Avenue,1.0,25-Oct-22
Oriental Scops Owl,Singapore Botanic Gardens,1.0,29-Oct-22
Oriental Scops Owl,Tampines Eco Green,1.0,20-Nov-22
Oriental Scops Owl,Teck Ghee Neighbourhood,1.0,28-Oct-22
Oriental Scops Owl,Toa Payoh,1.0,2-Nov-22
Oriental Scops Owl,Windsor Nature Park,1.0,4-Feb-23
Oriental Scops Owl,Woodlands Waterfront Park,2.0,21-Nov-22
Oriental Scops Owl,Woodlands Waterfront Park,2.0,26-Nov-22
Oriental Turtle Dove,Lim Chu Kang Lane 3,1.0,4-Feb-23
Oriental Turtle Dove,Rower's Bay Park,1.0,8-Jan-23
Parasitic Jaeger,Singapore Straits,6.0,26-Apr-15
Parasitic Jaeger,Singapore Straits,6.0,14-Oct-17
Parasitic Jaeger,Singapore Straits,6.0,3-Mar-18
Parasitic Jaeger,Singapore Straits,6.0,14-Oct-18
Parasitic Jaeger,Singapore Straits,6.0,4-Nov-18
Parasitic Jaeger,Singapore Straits,6.0,2-May-21
Parasitic Jaeger,Straits of Johor,1.0,8-May-21
Pheasant-tailed Jacana,Central Catchment Nature Reserve,1.0,16-Dec-22
Pheasant-tailed Jacana,Hindhede Nature Park,1.0,15-May-17
Pheasant-tailed Jacana,Kranji Marshes,1.0,10-Dec-16
Pheasant-tailed Jacana,Lower Peirce Reservoir,1.0,19-Nov-23
Pheasant-tailed Jacana,MacRitchie Reservoir Park,1.0,7-May-20
Pheasant-tailed Jacana,Marina East Drive,1.0,30-Dec-21
Pheasant-tailed Jacana,Pasir Ris Park,1.0,12-May-21
Pheasant-tailed Jacana,Pulau Ubin,1.0,30-Oct-22
Pheasant-tailed Jacana,Satay By The Bay,1.0,5-May-19
Pied Harrier,Bukit Timah Nature Reserve,1.0,17-Oct-22
Pied Harrier,Central Catchment Nature Reserve,3.0,28-Oct-22
Pied Harrier,Central Catchment Nature Reserve,3.0,20-Nov-20
Pied Harrier,Central Catchment Nature Reserve,3.0,13-Oct-22
Pied Harrier,Choa Chu Kang Cemetery,1.0,8-Nov-20
Pied Harrier,Henderson Waves,5.0,2-Nov-19
Pied Harrier,Henderson Waves,5.0,4-Nov-19
Pied Harrier,Henderson Waves,5.0,8-Nov-20
Pied Harrier,Henderson Waves,5.0,17-Nov-21
Pied Harrier,Henderson Waves,5.0,30-Oct-23
Pied Harrier,Kent Ridge Park,1.0,3-Nov-19
Pied Harrier,Kranji Marshes,1.0,18-Nov-17
Pied Harrier,Lim Chu Kang Road,1.0,1-Nov-22
Pied Harrier,Mount Faber Park,5.0,28-Oct-22
Pied Harrier,Mount Faber Park,5.0,9-Nov-22
Pied Harrier,Mount Faber Park,5.0,17-Nov-22
Pied Harrier,Mount Faber Park,5.0,20-Nov-22
Pied Harrier,Mount Faber Park,5.0,29-Oct-22
Pied Harrier,Nanyang Technological University,1.0,5-Nov-21
Pied Harrier,Neo Tiew Harvest Lane,3.0,29-Oct-20
Pied Harrier,Neo Tiew Harvest Lane,3.0,6-Nov-22
Pied Harrier,Neo Tiew Harvest Lane,3.0,20-Nov-22
Pied Harrier,Pulau Semakau,1.0,28-Nov-17
Pied Harrier,Sungai Buloh Wetland Reserve,1.0,11-Nov-18
Pied Harrier,Sungei Buloh Wetland Reserve,1.0,26-Nov-21
Pied Harrier,Telok Blangah Hill Park,1.0,15-Nov-17
Pied Harrier,Tuas South,2.0,2-Nov-22
Pied Harrier,Tuas South,2.0,30-Oct-16
Pied Stilt,Marina East Park,1.0,23-May-23
Pied Stilt,Pulau Tekong,2.0,28-Jun-21
Pied Stilt,Pulau Tekong,2.0,14-Jun-22
Red Knot,Chek Jawa Wetlands,1.0,2-Apr-22
Red Knot,Yishun Dam,1.0,6-Sep-21
Red-billed Starling,Sungei Buloh Wetland Reserve,1.0,7-Jan-23
Red-billed Starling,Tampines Eco Green,1.0,27-Dec-15
Red-billed Starling,Turut Track,1.0,12-Dec-21
Red-footed Booby,East Coast Park,1.0,12-Jun-19
Red-footed Booby,Henderson Waves,1.0,22-Oct-23
Red-footed Booby,Marina Barrage,1.0,3-Sep-17
Red-footed Booby,Marina South Pier,1.0,25-May-20
Red-footed Booby,Singapore Straits,2.0,12-Nov-16
Red-footed Booby,Singapore Straits,2.0,4-Oct-20
Red-footed Booby,St. John's Island,1.0,30-Nov-19
Red-necked Phalarope,Pulau Tekong,1.0,8-Oct-16
Red-necked Phalarope,Singapore Straits,1.0,28-Sep-19
Red-throated Pipit,Jurong West,1.0,25-Mar-18
Red-throated Pipit,Lorong Halus Wetlands,1.0,2-Dec-23
Red-throated Pipit,Neo Tiew Harvest Lane,1.0,17-Dec-21
Red-throated Pipit,Seletar Aerospace Drive,2.0,25-Nov-17
Red-throated Pipit,Seletar Aerospace Drive,2.0,16-Jan-20
Red-throated Pipit,Simpang Kiri Park Connector,1.0,1-Feb-20
Rosy Starling,Dempsey Road,1.0,23-Sep-23
Rosy Starling,Laguna National Golf and Country Club,1.0,4-Dec-22
Rosy Starling,Tuas South,1.0,23-Nov-18
Rosy Starling,West Coast Park,1.0,1-Oct-20
Ruby-cheeked Sunbird,Pulau Ubin,2.0,4-Mar-18
Ruby-cheeked Sunbird,Pulau Ubin,2.0,4-Nov-21
Ruby-cheeked Sunbird,Sungei Buloh Wetland Reserve,1.0,14-Oct-20
Ruff,Sungei Buloh Wetland Reserve,1.0,2-Dec-16
Rufous-backed Dwarf Kingfisher,Kent Ridge Park,1.0,27-Jul-20
Rufous-backed Dwarf Kingfisher,Peninsula Plaza,1.0,5-Nov-19
Rufous-bellied Eagle,Bukit Batok Nature Park,2.0,18-Feb-16
Rufous-bellied Eagle,Bukit Batok Nature Park,2.0,23-Apr-16
Rufous-bellied Eagle,Bukit Timah Nature Reserve,1.0,19-Jun-20
Rufous-bellied Eagle,Dairy Farm Nature Park,1.0,22-Dec-15
Rufous-bellied Eagle,Henderson Waves,1.0,22-Oct-22
Rufous-bellied Eagle,Holland Plain,1.0,24-Nov-20
Rufous-bellied Eagle,Kranji Marshes,1.0,9-Dec-21
Rufous-bellied Eagle,Lower Pierce Reservoir,1.0,10-May-22
Rufous-bellied Eagle,MacRitchie Reservoir Park,1.0,16-Sep-15
Rufous-bellied Eagle,Nanyang Technological University,1.0,27-Oct-22
Rufous-bellied Eagle,Pang Sua Park Connector,1.0,30-Oct-18
Rufous-bellied Eagle,Springleaf Nature Park,1.0,31-Mar-16
Rufous-bellied Eagle,Upper Bukit Timah,1.0,6-Oct-15
Sakhalin Leaf Warbler,Bukit Timah Nature Reserve,2.0,30-Nov-22
Sakhalin Leaf Warbler,Bukit Timah Nature Reserve,2.0,6-Nov-23
Sakhalin Leaf Warbler,Central Catchment Nature Reserve,2.0,19-Apr-19
Sakhalin Leaf Warbler,Central Catchment Nature Reserve,2.0,21-Mar-21
Sakhalin Leaf Warbler,Dairy Farm Nature Park,1.0,1-Dec-20
Sakhalin Leaf Warbler,Green Corridor,1.0,10-Dec-20
Sakhalin Leaf Warbler,MacRitchie Reservoir Park,1.0,24-Jan-20
Sakhalin Leaf Warbler,Mandai Track 15,1.0,4-Mar-20
Sakhalin Leaf Warbler,Pasir Ris Park,1.0,10-Dec-22
Sakhalin Leaf Warbler,Pulau Ubin,1.0,27-Jan-21
Sakhalin Leaf Warbler,Singapore Botanic Gardens,1.0,6-Mar-22
Sand Martin,Henderson Waves,1.0,26-Oct-19
Sand Martin,MacRitchie Reservoir Park,1.0,17-Oct-16
Sand Martin,Mount Faber Park,1.0,21-Nov-22
Sand Martin,Neo Tiew Harvest Lane,1.0,13-Apr-21
Sand Martin,Old Upper Thomson Rd,1.0,1-May-17
Sand Martin,Pang Sua Park Connector,1.0,30-Oct-18
Sand Martin,Seletar Aerospace Crescent,1.0,28-Jan-21
Sand Martin,Western Catchment,1.0,11-May-21
Sanderling,Chek Jawa Wetlands,1.0,10-Nov-22
Sanderling,Marina East Drive,1.0,7-Nov-22
Sanderling,Pulau Ubin,2.0,27-Sep-22
Sanderling,Pulau Ubin,2.0,17-Sep-23
Sanderling,Pulau Ubin: Chek Jawa,2.0,20-Jan-19
Sanderling,Pulau Ubin: Chek Jawa,2.0,14-Dec-20
Scarlet Minivet,Goldhill,1.0,25-Feb-21
Scarlet-breasted Flowerpecker,Bukit Timah Nature Reserve,1.0,29-Nov-21
Shikra,Jelutong Tower,1.0,21-Nov-19
Shikra,Mount Faber Park,1.0,27-Oct-22
Short-eared Owl,Tanah Merah Coast Road,1.0,29-Nov-19
Short-tailed Shearwater,Kusu Island,4.0,24-Apr-21
Short-tailed Shearwater,Kusu Island,4.0,16-May-21
Short-tailed Shearwater,Kusu Island,4.0,22-May-21
Short-tailed Shearwater,Kusu Island,4.0,29-May-21
Short-tailed Shearwater,Singapore Straits,6.0,7-May-16
Short-tailed Shearwater,Singapore Straits,6.0,7-May-17
Short-tailed Shearwater,Singapore Straits,6.0,5-May-18
Short-tailed Shearwater,Singapore Straits,6.0,28-Apr-19
Short-tailed Shearwater,Singapore Straits,6.0,4-May-19
Short-tailed Shearwater,Singapore Straits,6.0,19-May-19
Short-tailed Shearwater,Singapore Straits,6.0,25-Apr-21
Short-tailed Shearwater,Singapore Waters Pelagic: third hour,1.0,2-May-21
Short-toed Snake Eagle,Changi Business Park,1.0,5-Dec-18
Short-toed Snake Eagle,Gardens by the Bay,1.0,11-Nov-22
Short-toed Snake Eagle,Henderson Waves,2.0,20-Nov-18
Short-toed Snake Eagle,Henderson Waves,2.0,4-Nov-23
Short-toed Snake Eagle,Mount Faber Park,2.0,5-Nov-23
Short-toed Snake Eagle,Mount Faber Park,2.0,13-Nov-23
Short-toed Snake Eagle,Pinnacle@Duxton,1.0,9-Nov-23
Short-toed Snake Eagle,Southern Ridges,1.0,11-Nov-23
Short-toed Snake Eagle,Sungei Tengah,1.0,7-Nov-22
Short-toed Snake Eagle,Sungei Ulu Pandan Park Connector,1.0,6-Nov-19
Short-toed Snake Eagle,Telok Blangah,1.0,2-Nov-22
Siberian House Martin,Marina East Drive,1.0,28-Dec-21
Siberian House Martin,Neo Tiew Harvest Lane,1.0,3-Jan-21
Siberian Thrush,Bidadari Park,1.0,7-Nov-15
Siberian Thrush,Bukit Timah Nature Reserve,2.0,28-Apr-17
Siberian Thrush,Bukit Timah Nature Reserve,2.0,17-Nov-20
Siberian Thrush,Central Catchment Nature Reserve,2.0,18-Nov-20
Siberian Thrush,Central Catchment Nature Reserve,2.0,9-Nov-18
Siberian Thrush,Chestnut Nature Park,1.0,10-Nov-20
Siberian Thrush,Dairy Farm Nature Park,3.0,7-Jan-16
Siberian Thrush,Dairy Farm Nature Park,3.0,1-Dec-19
Siberian Thrush,Dairy Farm Nature Park,3.0,11-Apr-21
Siberian Thrush,Hindhede Nature Park,2.0,8-Nov-16
Siberian Thrush,Hindhede Nature Park,2.0,28-Nov-21
Siberian Thrush,Tanglin Trust School,1.0,13-Nov-18
Siberian Thrush,Thomson Nature Park,1.0,31-Oct-19
Siberian Thrush,Tuas South,1.0,6-Nov-16
Silver-backed Needletail,Bukit Timah Nature Reserve,5.0,30-Oct-19
Silver-backed Needletail,Bukit Timah Nature Reserve,5.0,8-Nov-19
Silver-backed Needletail,Bukit Timah Nature Reserve,5.0,16-Nov-20
Silver-backed Needletail,Bukit Timah Nature Reserve,5.0,18-Nov-20
Silver-backed Needletail,Bukit Timah Nature Reserve,5.0,27-Oct-21
Silver-backed Needletail,Central Catchment Nature Reserve,2.0,26-Oct-18
Silver-backed Needletail,Central Catchment Nature Reserve,2.0,5-Nov-21
Silver-backed Needletail,Henderson Waves,2.0,6-Nov-21
Silver-backed Needletail,Henderson Waves,2.0,13-Nov-22
Silver-backed Needletail,Mount Faber Park,2.0,4-Nov-22
Silver-backed Needletail,Mount Faber Park,2.0,4-Nov-22
Slaty-legged Crake,Jurong Island,1.0,21-Nov-15
Slaty-legged Crake,Kang Ching Road,1.0,21-Nov-20
Slaty-legged Crake,Rochor River,1.0,18-Dec-22
Slaty-legged Crake,Sentosa,1.0,5-Dec-16
Streaked Bulbul,Bukit Timah Nature Reserve,2.0,18-Jul-15
Streaked Bulbul,Bukit Timah Nature Reserve,2.0,14-Feb-16
Streaked Bulbul,Dairy Farm Nature Park,2.0,28-Nov-15
Streaked Bulbul,Dairy Farm Nature Park,2.0,2-Jan-17
Streaked Bulbul,Pulau Ubin,4.0,25-Jul-15
Streaked Bulbul,Pulau Ubin,4.0,25-Dec-19
Streaked Bulbul,Pulau Ubin,4.0,5-Nov-21
Streaked Bulbul,Pulau Ubin,4.0,12-Nov-21
Swinhoe's Snipe,Changi Business Park,1.0,16-Dec-21
Swinhoe's Snipe,Jurong West,1.0,1-Jan-18
Swinhoe's Snipe,Neo Tiew Harvest Lane,1.0,19-Apr-20
Taiga Flycatcher,Jurong Lake Gardens,1.0,1-Nov-22
Tufted Duck,Kranji Marshes,1.0,9-Dec-23
Tufted Duck,Marsiling Park,1.0,12-Dec-20
Verditer Flycatcher,Dairy Farm Nature Park,1.0,9-Oct-17
Wedge-tailed Shearwater,Bishan-Ang Mo Kio Park,1.0,23-Jun-21
White Wagtail,Bishan-Ang Mo Kio Park,2.0,27-Dec-15
White Wagtail,Bishan-Ang Mo Kio Park,2.0,30-Jan-21
White Wagtail,Harvest Link,1.0,9-Jan-20
White Wagtail,Kallang River,1.0,18-Dec-23
White Wagtail,Pasir Panjang,1.0,21-Dec-21
White Wagtail,Sembawang Wagtail Roost,2.0,6-Nov-17
White Wagtail,Sembawang Wagtail Roost,2.0,2-Dec-17
White Wagtail,Yishun Dam,2.0,12-Oct-18
White Wagtail,Yishun Dam,2.0,2-Feb-20
White's Thrush,Singapore Botanic Gardens,1.0,23-Nov-23
White-faced Plover,Marina Bay,2.0,5-Mar-15
White-faced Plover,Marina Bay,2.0,11-Mar-17
White-faced Plover,Marina East Drive,1.0,4-Feb-23
White-tailed Tropicbird,Tuas South,1.0,22-Jun-15
White-throated Needletail,Bukit Timah Nature Reserve,9.0,20-Oct-22
White-throated Needletail,Bukit Timah Nature Reserve,9.0,9-Nov-21
White-throated Needletail,Bukit Timah Nature Reserve,9.0,8-Nov-19
White-throated Needletail,Bukit Timah Nature Reserve,9.0,1-Apr-20
White-throated Needletail,Bukit Timah Nature Reserve,9.0,11-Nov-20
White-throated Needletail,Bukit Timah Nature Reserve,9.0,16-Nov-20
White-throated Needletail,Bukit Timah Nature Reserve,9.0,27-Oct-21
White-throated Needletail,Bukit Timah Nature Reserve,9.0,27-Oct-21
White-throated Needletail,Bukit Timah Nature Reserve,9.0,29-Oct-21
White-throated Needletail,Bukit Timah Nature Reserve,9.0,8-Oct-23
White-throated Needletail,Central Catchment Nature Reserve,2.0,25-Oct-17
White-throated Needletail,Central Catchment Nature Reserve,2.0,1-Nov-19
White-throated Needletail,Henderson Waves,10.0,19-Oct-17
White-throated Needletail,Henderson Waves,10.0,31-Oct-17
White-throated Needletail,Henderson Waves,10.0,28-Oct-18
White-throated Needletail,Henderson Waves,10.0,14-Nov-19
White-throated Needletail,Henderson Waves,10.0,17-Oct-20
White-throated Needletail,Henderson Waves,10.0,30-Oct-20
White-throated Needletail,Henderson Waves,10.0,8-Nov-20
White-throated Needletail,Henderson Waves,10.0,12-Nov-20
White-throated Needletail,Henderson Waves,10.0,14-Nov-20
White-throated Needletail,Henderson Waves,10.0,17-Nov-20
White-throated Needletail,Henderson Waves,10.0,6-Nov-21
White-throated Needletail,Henderson Waves,10.0,13-Nov-22
White-throated Needletail,Jelutong Tower,2.0,10-Mar-21
White-throated Needletail,Jelutong Tower,2.0,29-Sep-23
White-throated Needletail,Mount Faber Park,3.0,16-Oct-21
White-throated Needletail,Mount Faber Park,3.0,12-Nov-22
White-throated Needletail,Mount Faber Park,3.0,4-Nov-22
White-throated Needletail,Sentosa,1.0,24-Mar-20
White-throated Needletail,Singapore Quarry,1.0,7-Nov-21
White-throated Needletail,SkyParc@Dawson,1.0,31-Oct-20
White-throated Needletail,Telok Blangah Hill Park,1.0,3-Nov-18
White-throated Needletail,The Raintree,1.0,8-Nov-21
Yellow-vented Flowerpecker,Bukit Timah Nature Reserve,3.0,14-Feb-16
Yellow-vented Flowerpecker,Bukit Timah Nature Reserve,3.0,29-Oct-19
Yellow-vented Flowerpecker,Bukit Timah Nature Reserve,3.0,16-Nov-19
Yellow-vented Flowerpecker,Dairy Farm Nature Park,1.0,26-Sep-15
Yellow-vented Flowerpecker,Lower Peirce Reservoir,1.0,9-Jul-16
Zappey's Flycatcher,Bidadari Park,1.0,2-Nov-15
Zappey's Flycatcher,Tampines Eco Green,1.0,16-Mar-22
Zappey's Flycatcher,Tuas South,1.0,12-Nov-16
