Species,Date ,Location
Black-winged Flycatcher-shrike,22-Jun-19,Pulau Ubin
Black-winged Flycatcher-shrike,5-Nov-21,Pulau Ubin
Black-winged Stilt ,16-Feb-20,Jurong Lake Gardens
Black-winged Stilt ,1-Nov-15,Kranji Marshes
Black-winged Stilt ,5-Jun-22,Marina East Drive
Black-winged Stilt ,21-Nov-21,Marina East Drive
Black-winged Stilt ,1-Jan-23,Marina East Drive
Black-winged Stilt ,17-Jun-23,Pasir Ris Farmway 1
Black-winged Stilt ,14-Sep-20,Pulau Tekong
Black-winged Stilt ,16-Apr-22,Sg Buloh Wetlands Reserve
Black-winged Stilt ,3-Dec-23,Sungai Buloh Wetland Reserve
Black-winged Stilt ,8-Aug-22,Sungei Buloh Wetland Reserve
Black-winged Stilt ,13-Oct-22,Tuas South
Black-winged Stilt ,5-Aug-22,Yishun Dam
Black-winged/Pied Stilt,3-May-22,Changi Bay
Black-winged/Pied Stilt,8-Jul-23,Pulau Tekong
Blue Rock Thrush,31-Jan-23,Central Business District
Blue Rock Thrush,4-Dec-23,Central Business District
Blue Rock Thrush,8-Jan-18,Labrador Nature Reserve
Blue Rock Thrush,15-Nov-18,Labrador Villa Road
Blue Rock Thrush,6-Nov-16,Marina East Drive
Blue Rock Thrush,27-Sep-17,Marina East Drive
Blue Rock Thrush,2-Sep-15,Pinnacle@Duxton
Blue Rock Thrush,21-Jan-22,Pinnacle@Duxton
Blue Rock Thrush,9-Nov-23,Pinnacle@Duxton
Blue Rock Thrush,29-Dec-21,Pinnacle@Duxton
Blue Rock Thrush,26-Nov-21,Sentosa
Blue Rock Thrush,2-Nov-17,Sentosa Island
Blue Rock Thrush,19-Mar-21,Singapore Polo Club
Blue Rock Thrush,29-Dec-21,SkyParc@Dawson
Blue Rock Thrush,6-Jan-22,SkyParc@Dawson
Blue Rock Thrush,28-Dec-22,Strathmore Avenue
Blue Rock Thrush,29-Dec-22,Tanjong Pagar
Blue Rock Thrush,3-Nov-19,Tuas South
Blue-and-white Flycatcher,18-Nov-20,Central Catchment Nature Reserve
Blue-and-white Flycatcher,15-Mar-22,National University of Singapore
Blue-and-white Flycatcher,20-Mar-23,Pasir Ris Park
Blue-and-white Flycatcher,11-Jan-24,Singapore Botanic Gardens
Booted Eagle,10-Nov-19,Bukit Timah Nature Reserve
Booted Eagle,6-Nov-16,Changi Business Park
Booted Eagle,23-Feb-20,Coney Island
Booted Eagle,17-Nov-16,Henderson Waves
Booted Eagle,13-Nov-17,Henderson Waves
Booted Eagle,23-Oct-19,Henderson Waves
Booted Eagle,3-Nov-19,Henderson Waves
Booted Eagle,10-Nov-20,Henderson Waves
Booted Eagle,6-Nov-16,Jurong Lake Gardens
Booted Eagle,26-Dec-16,Lorong Halus Wetlands
Booted Eagle,6-Nov-21,Mount Faber Park
Booted Eagle,3-Nov-23,Mount Faber Park
Booted Eagle,27-Oct-22,Nanyang Technological University
Booted Eagle,7-Jan-20,Pasir Ris Park
Booted Eagle,20-Dec-20,Pulau Punggol
Booted Eagle,20-Dec-21,Pulau Ubin
Booted Eagle,21-Nov-19,Singapore Botanic Gardens
Booted Eagle,4-Nov-22,Telok Blangah
Booted Eagle,23-Oct-16,Tuas South
Broad-billed Sandpiper,15-Sep-16,Marina East Drive
Broad-billed Sandpiper,6-Oct-18,Pulau Tekong
Broad-billed Sandpiper,22-Sep-19,Sungei Buloh Wetland Reserve
Broad-billed Sandpiper,24-Sep-21,Sungei Buloh Wetland Reserve
Broad-billed Sandpiper,29-Sep-23,Sungei Buloh Wetland Reserve
Broad-billed Sandpiper,9-Oct-22,Tuas South
Brown Booby,19-May-19,Singapore Straits
Brown-backed Needletail,2-Jan-24,Bukit Timah Nature Reserve
Brown-backed Needletail,8-Jan-24,Bukit Timah Nature Reserve
Brown-backed Needletail,10-Nov-23,Henderson Waves
Brown-backed Needletail,14-Oct-23,Mount Faber Park
Brown-backed Needletail,17-Nov-22,Mount Faber Park
Brown-backed Needletail,24-Oct-23,Mount Faber Park
Brown-breasted Flycatcher,30-Oct-22,Dairy Farm Nature Park
Buff-rumped Woodpecker,2-Mar-15,Bidadari Park
Buff-rumped Woodpecker,5-Aug-18,Pulau Ubin
Buff-rumped Woodpecker,7-Mar-19,Pulau Ubin
Buff-rumped Woodpecker,17-Mar-20,Sime Track
Bulwer's Petrel,12-Nov-16,Straits of Singapore
Bulwer's Petrel,29-Apr-17,Straits of Singapore
Bulwer's Petrel,6-May-17,Straits of Singapore
Caspian Tern,17-Nov-20,Mandai Mudflats
Chestnut-cheeked Starling,20-Mar-21,Dover Road
Chestnut-cheeked Starling,16-Nov-19,Henderson Waves
Chestnut-cheeked Starling,9-Feb-20,Jurong Lake Gardens
Chestnut-cheeked Starling,1-Nov-19,Pandan Reservoir
Chestnut-cheeked Starling,4-Dec-20,The Grandstand
Chestnut-cheeked Starling,5-Dec-20,The Grandstand
Chinese Blue Flycatcher,29-Oct-22,Dairy Farm Nature Park
Chinese Blue Flycatcher,11-Oct-20,Jurong Lake Gardens
Chinese Egret ,1-Apr-23,Chek Jawa Wetlands
Chinese Egret ,6-Aug-16,Pulau Tekong
Chinese Egret ,21-Feb-18,Pulau Tekong
