Species,Date ,Location
Parasitic Jaeger,2-May-21,Singapore Straits
Parasitic Jaeger,8-May-21,Straits of Johor
Pheasant-tailed Jacana,16-Dec-22,Central Catchment Nature Reserve
Pheasant-tailed Jacana,15-May-17,Hindhede Nature Park
Pheasant-tailed Jacana,10-Dec-16,Kranji Marshes
Pheasant-tailed Jacana,19-Nov-23,Lower Peirce Reservoir
Pheasant-tailed Jacana,7-May-20,MacRitchie Reservoir Park
Pheasant-tailed Jacana,30-Dec-21,Marina East Drive
Pheasant-tailed Jacana,12-May-21,Pasir Ris Park
Pheasant-tailed Jacana,30-Oct-22,Pulau Ubin
Pheasant-tailed Jacana,5-May-19,Satay By The Bay
Pied Harrier,17-Oct-22,Bukit Timah Nature Reserve
Pied Harrier,28-Oct-22,Central Catchment Nature Reserve
Pied Harrier,20-Nov-20,Central Catchment Nature Reserve
Pied Harrier,13-Oct-22,Central Catchment Nature Reserve
Pied Harrier,8-Nov-20,Choa Chu Kang Cemetery
Pied Harrier,2-Nov-19,Henderson Waves
Pied Harrier,4-Nov-19,Henderson Waves
Pied Harrier,8-Nov-20,Henderson Waves
Pied Harrier,17-Nov-21,Henderson Waves
Pied Harrier,30-Oct-23,Henderson Waves
Pied Harrier,3-Nov-19,Kent Ridge Park
Pied Harrier,18-Nov-17,Kranji Marshes
Pied Harrier,1-Nov-22,Lim Chu Kang Road
Pied Harrier,28-Oct-22,Mount Faber Park
Pied Harrier,9-Nov-22,Mount Faber Park
Pied Harrier,17-Nov-22,Mount Faber Park
Pied Harrier,20-Nov-22,Mount Faber Park
Pied Harrier,29-Oct-22,Mount Faber Park
Pied Harrier,5-Nov-21,Nanyang Technological University
Pied Harrier,29-Oct-20,Neo Tiew Harvest Lane
Pied Harrier,6-Nov-22,Neo Tiew Harvest Lane
Pied Harrier,20-Nov-22,Neo Tiew Harvest Lane
Pied Harrier,28-Nov-17,Pulau Semakau
Pied Harrier,11-Nov-18,Sungai Buloh Wetland Reserve
Pied Harrier,26-Nov-21,Sungei Buloh Wetland Reserve
Pied Harrier,15-Nov-17,Telok Blangah Hill Park
Pied Harrier,2-Nov-22,Tuas South
Pied Harrier,30-Oct-16,Tuas South
Pied Stilt,23-May-23,Marina East Park
Pied Stilt,28-Jun-21,Pulau Tekong
Pied Stilt,14-Jun-22,Pulau Tekong
Red Knot,2-Apr-22,Chek Jawa Wetlands
Red Knot,6-Sep-21,Yishun Dam
Red-billed Starling,7-Jan-23,Sungei Buloh Wetland Reserve
Red-billed Starling,27-Dec-15,Tampines Eco Green
Red-billed Starling,12-Dec-21,Turut Track
Red-footed Booby,12-Jun-19,East Coast Park
Red-footed Booby,22-Oct-23,Henderson Waves
Red-footed Booby,3-Sep-17,Marina Barrage
Red-footed Booby,25-May-20,Marina South Pier
Red-footed Booby,12-Nov-16,Singapore Straits
Red-footed Booby,4-Oct-20,Singapore Straits
Red-footed Booby,30-Nov-19,St. John's Island
Red-necked Phalarope,8-Oct-16,Pulau Tekong
Red-necked Phalarope,28-Sep-19,Singapore Straits
Red-throated Pipit,25-Mar-18,Jurong West
Red-throated Pipit,2-Dec-23,Lorong Halus Wetlands
Red-throated Pipit,17-Dec-21,Neo Tiew Harvest Lane
Red-throated Pipit,25-Nov-17,Seletar Aerospace Drive
Red-throated Pipit,16-Jan-20,Seletar Aerospace Drive
Red-throated Pipit,1-Feb-20,Simpang Kiri Park Connector
Rosy Starling,23-Sep-23,Dempsey Road
Rosy Starling,4-Dec-22,Laguna National Golf and Country Club
Rosy Starling,23-Nov-18,Tuas South
Rosy Starling,1-Oct-20,West Coast Park
Ruby-cheeked Sunbird,4-Mar-18,Pulau Ubin
Ruby-cheeked Sunbird,4-Nov-21,Pulau Ubin
Ruby-cheeked Sunbird,14-Oct-20,Sungei Buloh Wetland Reserve
Ruff,2-Dec-16,Sungei Buloh Wetland Reserve
Rufous-backed Dwarf Kingfisher,27-Jul-20,Kent Ridge Park
Rufous-backed Dwarf Kingfisher,5-Nov-19,Peninsula Plaza
Rufous-bellied Eagle,18-Feb-16,Bukit Batok Nature Park
Rufous-bellied Eagle,23-Apr-16,Bukit Batok Nature Park
Rufous-bellied Eagle,19-Jun-20,Bukit Timah Nature Reserve
Rufous-bellied Eagle,22-Dec-15,Dairy Farm Nature Park
Rufous-bellied Eagle,22-Oct-22,Henderson Waves
Rufous-bellied Eagle,24-Nov-20,Holland Plain
Rufous-bellied Eagle,9-Dec-21,Kranji Marshes
Rufous-bellied Eagle,10-May-22,Lower Pierce Reservoir
Rufous-bellied Eagle,16-Sep-15,MacRitchie Reservoir Park
Rufous-bellied Eagle,27-Oct-22,Nanyang Technological University
Rufous-bellied Eagle,30-Oct-18,Pang Sua Park Connector
Rufous-bellied Eagle,31-Mar-16,Springleaf Nature Park
Rufous-bellied Eagle,6-Oct-15,Upper Bukit Timah
Sakhalin Leaf Warbler,30-Nov-22,Bukit Timah Nature Reserve
Sakhalin Leaf Warbler,6-Nov-23,Bukit Timah Nature Reserve
Sakhalin Leaf Warbler,19-Apr-19,Central Catchment Nature Reserve
Sakhalin Leaf Warbler,21-Mar-21,Central Catchment Nature Reserve
Sakhalin Leaf Warbler,1-Dec-20,Dairy Farm Nature Park
Sakhalin Leaf Warbler,10-Dec-20,Green Corridor
Sakhalin Leaf Warbler,24-Jan-20,MacRitchie Reservoir Park
Sakhalin Leaf Warbler,4-Mar-20,Mandai Track 15
Sakhalin Leaf Warbler,10-Dec-22,Pasir Ris Park
Sakhalin Leaf Warbler,27-Jan-21,Pulau Ubin
Sakhalin Leaf Warbler,6-Mar-22,Singapore Botanic Gardens
Sand Martin,26-Oct-19,Henderson Waves
Sand Martin,17-Oct-16,MacRitchie Reservoir Park
Sand Martin,21-Nov-22,Mount Faber Park
Sand Martin,13-Apr-21,Neo Tiew Harvest Lane
Sand Martin,1-May-17,Old Upper Thomson Rd
Sand Martin,30-Oct-18,Pang Sua Park Connector
Sand Martin,28-Jan-21,Seletar Aerospace Crescent
Sand Martin,11-May-21,Western Catchment
Sanderling,10-Nov-22,Chek Jawa Wetlands
Sanderling,7-Nov-22,Marina East Drive
Sanderling,27-Sep-22,Pulau Ubin
Sanderling,17-Sep-23,Pulau Ubin
Sanderling,20-Jan-19,Pulau Ubin: Chek Jawa
Sanderling,14-Dec-20,Pulau Ubin: Chek Jawa
Scarlet Minivet,25-Feb-21,Goldhill
Scarlet-breasted Flowerpecker,29-Nov-21,Bukit Timah Nature Reserve
Shikra,21-Nov-19,Jelutong Tower
Shikra,27-Oct-22,Mount Faber Park
Short-eared Owl,29-Nov-19,Tanah Merah Coast Road
Short-tailed Shearwater,24-Apr-21,Kusu Island
Short-tailed Shearwater,16-May-21,Kusu Island
Short-tailed Shearwater,22-May-21,Kusu Island
Short-tailed Shearwater,29-May-21,Kusu Island
Short-tailed Shearwater,7-May-16,Singapore Straits
Short-tailed Shearwater,7-May-17,Singapore Straits
Short-tailed Shearwater,5-May-18,Singapore Straits
Short-tailed Shearwater,28-Apr-19,Singapore Straits
Short-tailed Shearwater,4-May-19,Singapore Straits
Short-tailed Shearwater,19-May-19,Singapore Straits
Short-tailed Shearwater,25-Apr-21,Singapore Straits
Short-tailed Shearwater,2-May-21,Singapore Waters Pelagic: third hour
Short-toed Snake Eagle,5-Dec-18,Changi Business Park
Short-toed Snake Eagle,11-Nov-22,Gardens by the Bay
Short-toed Snake Eagle,20-Nov-18,Henderson Waves
Short-toed Snake Eagle,4-Nov-23,Henderson Waves
Short-toed Snake Eagle,5-Nov-23,Mount Faber Park
Short-toed Snake Eagle,13-Nov-23,Mount Faber Park
Short-toed Snake Eagle,9-Nov-23,Pinnacle@Duxton
Short-toed Snake Eagle,11-Nov-23,Southern Ridges
Short-toed Snake Eagle,7-Nov-22,Sungei Tengah
Short-toed Snake Eagle,6-Nov-19,Sungei Ulu Pandan Park Connector
Short-toed Snake Eagle,2-Nov-22,Telok Blangah
Siberian House Martin,28-Dec-21,Marina East Drive
Siberian House Martin,3-Jan-21,Neo Tiew Harvest Lane
Siberian Thrush,7-Nov-15,Bidadari Park
Siberian Thrush,28-Apr-17,Bukit Timah Nature Reserve
Siberian Thrush,17-Nov-20,Bukit Timah Nature Reserve
Siberian Thrush,18-Nov-20,Central Catchment Nature Reserve
Siberian Thrush,9-Nov-18,Central Catchment Nature Reserve
Siberian Thrush,10-Nov-20,Chestnut Nature Park
Siberian Thrush,7-Jan-16,Dairy Farm Nature Park
Siberian Thrush,1-Dec-19,Dairy Farm Nature Park
Siberian Thrush,11-Apr-21,Dairy Farm Nature Park
Siberian Thrush,8-Nov-16,Hindhede Nature Park
Siberian Thrush,28-Nov-21,Hindhede Nature Park
Siberian Thrush,13-Nov-18,Tanglin Trust School
Siberian Thrush,31-Oct-19,Thomson Nature Park
Siberian Thrush,6-Nov-16,Tuas South
Silver-backed Needletail,30-Oct-19,Bukit Timah Nature Reserve
Silver-backed Needletail,8-Nov-19,Bukit Timah Nature Reserve
Silver-backed Needletail,16-Nov-20,Bukit Timah Nature Reserve
Silver-backed Needletail,18-Nov-20,Bukit Timah Nature Reserve
Silver-backed Needletail,27-Oct-21,Bukit Timah Nature Reserve
Silver-backed Needletail,26-Oct-18,Central Catchment Nature Reserve
Silver-backed Needletail,5-Nov-21,Central Catchment Nature Reserve
Silver-backed Needletail,6-Nov-21,Henderson Waves
Silver-backed Needletail,13-Nov-22,Henderson Waves
Silver-backed Needletail,4-Nov-22,Mount Faber Park
Silver-backed Needletail,4-Nov-22,Mount Faber Park
Slaty-legged Crake,21-Nov-15,Jurong Island
Slaty-legged Crake,21-Nov-20,Kang Ching Road
Slaty-legged Crake,18-Dec-22,Rochor River
Slaty-legged Crake,5-Dec-16,Sentosa
Streaked Bulbul,18-Jul-15,Bukit Timah Nature Reserve
Streaked Bulbul,14-Feb-16,Bukit Timah Nature Reserve
Streaked Bulbul,28-Nov-15,Dairy Farm Nature Park
Streaked Bulbul,2-Jan-17,Dairy Farm Nature Park
Streaked Bulbul,25-Jul-15,Pulau Ubin
Streaked Bulbul,25-Dec-19,Pulau Ubin
Streaked Bulbul,5-Nov-21,Pulau Ubin
Streaked Bulbul,12-Nov-21,Pulau Ubin
Swinhoe's Snipe,16-Dec-21,Changi Business Park
Swinhoe's Snipe,1-Jan-18,Jurong West
Swinhoe's Snipe,19-Apr-20,Neo Tiew Harvest Lane
Taiga Flycatcher,1-Nov-22,Jurong Lake Gardens
Tufted Duck,9-Dec-23,Kranji Marshes
Tufted Duck,12-Dec-20,Marsiling Park
Verditer Flycatcher,9-Oct-17,Dairy Farm Nature Park
Wedge-tailed Shearwater,23-Jun-21,Bishan-Ang Mo Kio Park
White Wagtail,27-Dec-15,Bishan-Ang Mo Kio Park
White Wagtail,30-Jan-21,Bishan-Ang Mo Kio Park
White Wagtail,9-Jan-20,Harvest Link
White Wagtail,18-Dec-23,Kallang River
White Wagtail,21-Dec-21,Pasir Panjang
White Wagtail,6-Nov-17,Sembawang Wagtail Roost
White Wagtail,2-Dec-17,Sembawang Wagtail Roost
White Wagtail,12-Oct-18,Yishun Dam
White Wagtail,2-Feb-20,Yishun Dam
White-faced Plover,5-Mar-15,Marina Bay
White-faced Plover,11-Mar-17,Marina Bay
White-faced Plover,4-Feb-23,Marina East Drive
White's Thrush,23-Nov-23,Singapore Botanic Gardens
White-tailed Tropicbird,22-Jun-15,Tuas South
White-throated Needletail,20-Oct-22,Bukit Timah Nature Reserve
White-throated Needletail,9-Nov-21,Bukit Timah Nature Reserve
White-throated Needletail,8-Nov-19,Bukit Timah Nature Reserve
White-throated Needletail,1-Apr-20,Bukit Timah Nature Reserve
White-throated Needletail,11-Nov-20,Bukit Timah Nature Reserve
White-throated Needletail,16-Nov-20,Bukit Timah Nature Reserve
White-throated Needletail,27-Oct-21,Bukit Timah Nature Reserve
White-throated Needletail,27-Oct-21,Bukit Timah Nature Reserve
White-throated Needletail,29-Oct-21,Bukit Timah Nature Reserve
White-throated Needletail,8-Oct-23,Bukit Timah Nature Reserve
White-throated Needletail,25-Oct-17,Central Catchment Nature Reserve
White-throated Needletail,1-Nov-19,Central Catchment Nature Reserve
White-throated Needletail,19-Oct-17,Henderson Waves
White-throated Needletail,31-Oct-17,Henderson Waves
White-throated Needletail,28-Oct-18,Henderson Waves
White-throated Needletail,14-Nov-19,Henderson Waves
White-throated Needletail,17-Oct-20,Henderson Waves
White-throated Needletail,30-Oct-20,Henderson Waves
White-throated Needletail,8-Nov-20,Henderson Waves
White-throated Needletail,12-Nov-20,Henderson Waves
White-throated Needletail,14-Nov-20,Henderson Waves
White-throated Needletail,17-Nov-20,Henderson Waves
White-throated Needletail,6-Nov-21,Henderson Waves
White-throated Needletail,13-Nov-22,Henderson Waves
White-throated Needletail,10-Mar-21,Jelutong Tower
White-throated Needletail,29-Sep-23,Jelutong Tower
White-throated Needletail,16-Oct-21,Mount Faber Park
White-throated Needletail,12-Nov-22,Mount Faber Park
White-throated Needletail,4-Nov-22,Mount Faber Park
White-throated Needletail,24-Mar-20,Sentosa
White-throated Needletail,7-Nov-21,Singapore Quarry
White-throated Needletail,31-Oct-20,SkyParc@Dawson
White-throated Needletail,3-Nov-18,Telok Blangah Hill Park
White-throated Needletail,8-Nov-21,The Raintree
Yellow-vented Flowerpecker,14-Feb-16,Bukit Timah Nature Reserve
Yellow-vented Flowerpecker,29-Oct-19,Bukit Timah Nature Reserve
Yellow-vented Flowerpecker,16-Nov-19,Bukit Timah Nature Reserve
Yellow-vented Flowerpecker,26-Sep-15,Dairy Farm Nature Park
Yellow-vented Flowerpecker,9-Jul-16,Lower Peirce Reservoir
Zappey's Flycatcher,2-Nov-15,Bidadari Park
Zappey's Flycatcher,16-Mar-22,Tampines Eco Green
Zappey's Flycatcher,12-Nov-16,Tuas South
